iter	Passed	Remaining
0	148	35547
1	151	18046
2	147	11690
3	149	8887
4	152	7192
5	155	6090
6	158	5305
7	161	4717
8	164	4249
9	167	3870
10	170	3566
11	173	3309
12	176	3092
13	179	2913
14	183	2769
15	186	2625
16	189	2498
17	192	2386
18	196	2290
19	199	2204
20	202	2120
21	204	2039
22	207	1966
23	209	1897
24	212	1839
25	215	1785
26	218	1731
27	221	1685
28	223	1636
29	226	1594
30	230	1563
31	234	1529
32	236	1492
33	239	1458
34	242	1428
35	245	1396
36	248	1367
37	250	1338
38	253	1313
39	256	1291
40	259	1265
41	262	1242
42	265	1220
43	267	1199
44	270	1177
45	273	1158
46	276	1139
47	279	1121
48	281	1103
49	284	1087
50	287	1072
51	290	1056
52	293	1040
53	296	1025
54	299	1012
55	302	999
56	305	984
57	308	972
58	310	958
59	313	945
60	316	933
61	319	921
62	322	910
63	325	900
64	328	888
65	331	878
66	334	868
67	336	856
68	339	846
69	342	835
70	344	825
71	347	815
72	350	806
73	353	797
74	356	789
75	359	780
76	362	772
77	366	764
78	368	755
79	371	747
80	374	739
81	377	731
82	380	723
83	382	715
84	385	707
85	388	699
86	390	691
87	393	684
88	396	677
89	399	669
90	402	662
91	405	656
92	408	649
93	411	642
94	413	635
95	416	629
96	419	622
97	421	615
98	424	608
99	426	601
100	429	595
101	431	588
102	434	582
103	437	575
104	439	569
105	443	564
106	445	557
107	448	551
108	450	546
109	453	540
110	456	534
111	459	528
112	462	523
113	465	518
114	468	512
115	471	507
116	474	502
117	477	497
118	479	492
119	482	486
120	485	481
121	487	475
122	490	470
123	492	465
124	495	460
125	498	455
126	501	449
127	503	444
128	505	439
129	508	434
130	511	429
131	513	424
132	516	419
133	519	414
134	522	410
135	525	405
136	528	400
137	531	396
138	534	392
139	537	387
140	540	383
141	542	378
142	545	373
143	548	3691144	551	3651145	553	3601146	556	3551147	559	3511148	561	3461149	563	3421150	567	3381151	569	3331152	572	3291153	574	3241154	578	3201155	580	316
156	583	312
157	585	307
158	588	303
159	591	2991160	593	2941161	595	2901162	598	2861163	600	2821164	603	2771165	605	2731166	607	2691167	610	2651168	614	2611169	616	2571170	618	2531171	620	2491172	623	2441173	625	2401174	627	2361175	630	2321176	632	2281177	634	2241178	637	2201179	639	2161180	642	2121181	644	2081182	646	2051183	648	201184	651	197
185	653	193
186	655	189
187	657	185
188	660	181
189	662	177
190	665	174
191	667	170
192	669	166
193	672	162
194	674	159
195	676	155
196	678	151
197	681	147
198	683	144
199	685	140
200	687	136
201	690	133
202	692	129
203	694	126
204	697	122
205	699	118
206	701	115
207	703	111
208	705	108
209	707	104
210	709	100
211	712	97
212	714	93
213	716	90
214	718	86
215	720	83
216	722	79
217	724	76
218	727	73
219	729	69
220	731	66
221	733	62
222	735	59
223	737	56
224	739	52
225	742	49
226	744	45
227	746	42
228	748	39
229	751	35
230	753	32
231	756	29
232	758	26
233	760	22
234	762	19
235	764	16
236	766	12
237	768	9
238	770	6
239	772	3
240	774	0


