feature,importance
height,0.12809968
weight,0.05661645
sbert_5,0.04788062
sbert_10,0.04394279
sbert_3,0.042477634
sbert_14,0.040272787
sbert_23,0.038870126
sbert_13,0.035213176
sbert_21,0.034180887
is_phone_os_missing,0.03087471
sbert_11,0.028987562
sbert_29,0.027651317
sbert_8,0.0248535
sbert_16,0.023921918
sbert_9,0.023602476
social_activity,0.023429777
data_completeness,0.02258447
sbert_12,0.021773262
iq,0.02032626
is_sleepiness_missing,0.020033091
sleepiness,0.019570217
fb_friends,0.019204225
sbert_22,0.019116834
sbert_2,0.016691916
yt,0.0162512
sbert_15,0.01553892
sbert_27,0.014774402
sbert_0,0.014707872
sbert_18,0.014610226
sbert_20,0.013879203
sbert_25,0.01249668
sbert_24,0.010991514
sbert_28,0.010568711
height_weight_ratio,0.00969691
sbert_17,0.009375815
sbert_26,0.009228878
bmi,0.008795159
sbert_6,0.007891057
sbert_1,0.007523677
sbert_4,0.006210621
sbert_19,0.0041557476
sbert_7,0.0031277195
is_fb_meme,0.0
is_star_sign_missing,0.0
is_yt_missing,0.0
is_fb_missing,0.0
is_iq_missing,0.0
is_height_missing,0.0
is_weight_missing,0.0
is_self_intro_missing,0.0
total_missing,0.0
